Unnamed: 0,Word,POS,Pos_meaning
0.0,कृषिकर्म,N_NN,Noun (संज्ञा)
1.0,हा,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
2.0,शब्द,N_NN,Noun (संज्ञा)
3.0,कृष्,N_NN,Noun (संज्ञा)
4.0,म्हणजे,CC_CCD,Coordinating Conjunction (संयोजक जोडणारा अव्यय)
5.0,नांगरणें,N_NN,Noun (संज्ञा)
6.0,या,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
7.0,धातूपासून,N_NN,Noun (संज्ञा)
8.0,झाला,V_VM,Verb Main (मुख्य क्रिया)
9.0,आहे,V_VAUX,Verb Auxiliary (सहायक क्रिया)
10.0,.,RD_PUNC,Punctuation Mark (विरामचिन्ह)
11.0,यावरून,DM_DMD,Demonstrative Determiner (दर्शक निर्धारक)
12.0,या,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
13.0,धंद्यास,N_NN,Noun (संज्ञा)
14.0,नांगर,N_NN,Noun (संज्ञा)
15.0,हें,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
16.0,मुख्य,JJ,Adjective (विशेषण)
17.0,साधन,N_NN,Noun (संज्ञा)
18.0,आहे,V_VM,Verb Main (मुख्य क्रिया)
19.0,हें,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
20.0,उघड,V_VM,Verb Main (मुख्य क्रिया)
21.0,दिसतें,V_VAUX,Verb Auxiliary (सहायक क्रिया)
22.0,.,RD_PUNC,Punctuation Mark (विरामचिन्ह)
23.0,फार,QT_QTF,Quantifier (परिमाणवाचक संख्यावाचक)
24.0,प्राचीन,JJ,Adjective (विशेषण)
25.0,काळीं,N_NN,Noun (संज्ञा)
26.0,रानटी,JJ,Adjective (विशेषण)
27.0,स्थितींत,N_NN,Noun (संज्ञा)
28.0,मनुष्य,N_NN,Noun (संज्ञा)
29.0,असतां,V_VM,Verb Main (मुख्य क्रिया)
30.0,जंगलांतील,N_NN,Noun (संज्ञा)
31.0,श्वापदें,N_NN,Noun (संज्ञा)
32.0,मारून,V_VM,Verb Main (मुख्य क्रिया)
33.0,त्यांवर,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
34.0,तो,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
35.0,निर्वाह,N_NN,Noun (संज्ञा)
36.0,करीत,V_VM,Verb Main (मुख्य क्रिया)
37.0,असावा,V_VAUX,Verb Auxiliary (सहायक क्रिया)
38.0,.,RD_PUNC,Punctuation Mark (विरामचिन्ह)
39.0,त्यानंतर,N_NST,Noun (स्थानवाचक संज्ञा)
40.0,कंद,N_NN,Noun (संज्ञा)
41.0,",",RD_PUNC,Punctuation Mark (विरामचिन्ह)
42.0,मुळें,N_NN,Noun (संज्ञा)
43.0,",",RD_PUNC,Punctuation Mark (विरामचिन्ह)
44.0,झाडांची,N_NN,Noun (संज्ञा)
45.0,फळें,N_NN,Noun (संज्ञा)
46.0,व,CC_CCD,Coordinating Conjunction (संयोजक जोडणारा अव्यय)
47.0,धान्य,N_NN,Noun (संज्ञा)
48.0,याच्याकडे,PR_PRP,Personal Pronoun (व्यक्तिगत सर्वनाम)
49.0,त्याचें,PR_PRP,Personal Pronoun (व्यक्तिगत सर्वनाम)
50.0,लक्ष,N_NN,Noun (संज्ञा)
51.0,जाऊन,V_VM,Verb Main (मुख्य क्रिया)
52.0,त्यावर,PR_PRL,Relative Pronoun (संबंधी सर्वनाम)
53.0,तो,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
54.0,उपजीविका,N_NN,Noun (संज्ञा)
55.0,करूं,V_VM,Verb Main (मुख्य क्रिया)
56.0,लागला,V_VAUX,Verb Auxiliary (सहायक क्रिया)
57.0,.,RD_PUNC,Punctuation Mark (विरामचिन्ह)
58.0,नंतर,RB,Adverb (क्रियाविशेषण)
59.0,सभोंवतालीं,N_NN,Noun (संज्ञा)
60.0,उगवणारीं,V_VM,Verb Main (मुख्य क्रिया)
61.0,धान्यें,N_NN,Noun (संज्ञा)
62.0,यांचें,PR_PRP,Personal Pronoun (व्यक्तिगत सर्वनाम)
63.0,संवर्धन,N_NN,Noun (संज्ञा)
64.0,कांहीं,QT_QTF,Quantifier (परिमाणवाचक संख्यावाचक)
65.0,कृत्रिम,JJ,Adjective (विशेषण)
66.0,उपायानीं,N_NN,Noun (संज्ञा)
67.0,-,RD_PUNC,Punctuation Mark (विरामचिन्ह)
68.0,जमीन,N_NN,Noun (संज्ञा)
69.0,नांगरून,V_VM,Verb Main (मुख्य क्रिया)
70.0,खतें,N_NN,Noun (संज्ञा)
71.0,वगैरे,JJ,Adjective (विशेषण)
72.0,घालून,V_VM,Verb Main (मुख्य क्रिया)
73.0,केलें,V_VM,Verb Main (मुख्य क्रिया)
74.0,असतां,V_VAUX,Verb Auxiliary (सहायक क्रिया)
75.0,पीक,N_NN,Noun (संज्ञा)
76.0,जास्त,QT_QTF,Quantifier (परिमाणवाचक संख्यावाचक)
77.0,येऊन,V_VM,Verb Main (मुख्य क्रिया)
78.0,धान्याची,N_NN,Noun (संज्ञा)
79.0,जात,N_NN,Noun (संज्ञा)
80.0,सुधारत,V_VM,Verb Main (मुख्य क्रिया)
81.0,जाते,V_VAUX,Verb Auxiliary (सहायक क्रिया)
82.0,हा,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
83.0,शोध,N_NN,Noun (संज्ञा)
84.0,त्यास,PR_PRP,Personal Pronoun (व्यक्तिगत सर्वनाम)
85.0,लागला,V_VM,Verb Main (मुख्य क्रिया)
86.0,असावा,V_VAUX,Verb Auxiliary (सहायक क्रिया)
87.0,.,RD_PUNC,Punctuation Mark (विरामचिन्ह)
88.0,ह्या,DM_DMR,Demonstrative Pronoun (दर्शक सर्वनाम)
89.0,प्रवृत्तीमुळेंच,N_NN,Noun (संज्ञा)
90.0,विविध,JJ,Adjective (विशेषण)
91.0,शेतकी,N_NN,Noun (संज्ञा)
92.0,",",RD_PUNC,Punctuation Mark (विरामचिन्ह)
93.0,व,CC_CCD,Coordinating Conjunction (संयोजक जोडणारा अव्यय)
94.0,बागायतीचीं,N_NN,Noun (संज्ञा)
95.0,आऊतें,N_NN,Noun (संज्ञा)
96.0,मनुष्याच्या,N_NN,Noun (संज्ञा)
97.0,कल्पक,JJ,Adjective (विशेषण)
98.0,बुद्धीमुळें,N_NN,Noun (संज्ञा)
99.0,निर्माण,N_NN,Noun (संज्ञा)
100.0,झालीं,V_VM,Verb Main (मुख्य क्रिया)
101.0,.,RD_PUNC,Punctuation Mark (विरामचिन्ह)
102.0,मिसरदेश,N-NNP,Proper Noun (योग्य संज्ञा)
103.0,",",RD_PUNC,Punctuation Mark (विरामचिन्ह)
104.0,बाबिलोन,N-NNP,Proper Noun (योग्य संज्ञा)
105.0,व,CC_CCD,Coordinating Conjunction (संयोजक जोडणारा अव्यय)
106.0,इतर,QT_QTF,Quantifier (परिमाणवाचक संख्यावाचक)
107.0,प्राचीन,JJ,Adjective (विशेषण)
108.0,राष्ट्रें,N_NN,Noun (संज्ञा)
109.0,शेतकींत,N_NN,Noun (संज्ञा)
110.0,प्रवीण,JJ,Adjective (विशेषण)
111.0,होतीं,V_VM,Verb Main (मुख्य क्रिया)
112.0,असें,JJ,Adjective (विशेषण)
113.0,इतिहासावरून,N_NN,Noun (संज्ञा)
114.0,दृष्टोत्पत्तीस,N_NN,Noun (संज्ञा)
115.0,येतें,CC_CCD,Coordinating Conjunction (संयोजक जोडणारा अव्यय)
116.0,.,RD_PUNC,Punctuation Mark (विरामचिन्ह)
117.0,नाइलनदीला,N-NNP,Proper Noun (योग्य संज्ञा)
118.0,पूर,N_NN,Noun (संज्ञा)
119.0,आल्यावर,CC_CCD,Coordinating Conjunction (संयोजक जोडणारा अव्यय)
120.0,केवळ,JJ,Adjective (विशेषण)
121.0,लांकडी,N_NN,Noun (संज्ञा)
122.0,नांगराच्या,N_NN,Noun (संज्ञा)
123.0,साहाय्यानें,N_NN,Noun (संज्ञा)
124.0,जमीन,N_NN,Noun (संज्ञा)
125.0,नांगरून,CC_CCD,Coordinating Conjunction (संयोजक जोडणारा अव्यय)
126.0,ईजिप्‍तमध्यें,N-NNP,Proper Noun (योग्य संज्ञा)
127.0,पिकाची,N_NN,Noun (संज्ञा)
128.0,लागवड,N_NN,Noun (संज्ञा)
129.0,करीत,V_VM,Verb Main (मुख्य क्रिया)
